=== Scanner (4 threads) at Tue May 12 12:23:29 PM EEST 2026 ===
[MAIN] Resuming from checkpoint: 346864 (37060346864.lt)
[MAIN] Range: 0 to 9999999 (10,000,000 domains)
[MAIN] Threads: 4
[MAIN] Start: 2026-05-12 12:23:29
[PROGRESS] 680,000/10,000,000 (6.80%) | hits: 3 | errors: 477415 | 23.5 req/s | ETA: 110.3h
[PROGRESS] 685,000/10,000,000 (6.85%) | hits: 3 | errors: 477430 | 23.2 req/s | ETA: 111.7h
[PROGRESS] 690,000/10,000,000 (6.90%) | hits: 3 | errors: 477442 | 22.9 req/s | ETA: 113.1h
[PROGRESS] 695,000/10,000,000 (6.95%) | hits: 3 | errors: 477454 | 22.6 req/s | ETA: 114.5h
[PROGRESS] 700,000/10,000,000 (7.00%) | hits: 3 | errors: 477465 | 22.3 req/s | ETA: 115.6h
[PROGRESS] 705,000/10,000,000 (7.05%) | hits: 4 | errors: 477478 | 22.0 req/s | ETA: 117.1h
[PROGRESS] 710,000/10,000,000 (7.10%) | hits: 4 | errors: 477482 | 21.8 req/s | ETA: 118.5h
[PROGRESS] 715,000/10,000,000 (7.15%) | hits: 4 | errors: 477487 | 21.4 req/s | ETA: 120.3h
[PROGRESS] 720,000/10,000,000 (7.20%) | hits: 6 | errors: 477493 | 21.0 req/s | ETA: 122.6h
[PROGRESS] 725,000/10,000,000 (7.25%) | hits: 6 | errors: 477495 | 20.6 req/s | ETA: 125.3h
[PROGRESS] 730,000/10,000,000 (7.30%) | hits: 6 | errors: 477497 | 20.3 req/s | ETA: 126.8h
[PROGRESS] 735,000/10,000,000 (7.35%) | hits: 6 | errors: 477504 | 19.9 req/s | ETA: 129.6h
[PROGRESS] 740,000/10,000,000 (7.40%) | hits: 6 | errors: 477508 | 19.4 req/s | ETA: 132.3h
[PROGRESS] 745,000/10,000,000 (7.45%) | hits: 6 | errors: 477518 | 19.1 req/s | ETA: 134.9h
[PROGRESS] 750,000/10,000,000 (7.50%) | hits: 6 | errors: 482384 | 19.2 req/s | ETA: 134.0h
[PROGRESS] 755,000/10,000,000 (7.55%) | hits: 6 | errors: 487384 | 19.3 req/s | ETA: 133.1h
[PROGRESS] 760,000/10,000,000 (7.60%) | hits: 6 | errors: 492384 | 19.4 req/s | ETA: 132.1h
[PROGRESS] 765,000/10,000,000 (7.65%) | hits: 6 | errors: 497384 | 19.6 req/s | ETA: 131.2h
[PROGRESS] 770,000/10,000,000 (7.70%) | hits: 6 | errors: 502384 | 19.7 req/s | ETA: 130.3h
[PROGRESS] 775,000/10,000,000 (7.75%) | hits: 6 | errors: 507384 | 19.8 req/s | ETA: 129.4h
[PROGRESS] 780,000/10,000,000 (7.80%) | hits: 6 | errors: 512384 | 19.9 req/s | ETA: 128.5h
[PROGRESS] 785,000/10,000,000 (7.85%) | hits: 6 | errors: 517384 | 20.1 req/s | ETA: 127.6h
[PROGRESS] 790,000/10,000,000 (7.90%) | hits: 6 | errors: 522384 | 20.2 req/s | ETA: 126.7h
[PROGRESS] 795,000/10,000,000 (7.95%) | hits: 6 | errors: 527384 | 20.3 req/s | ETA: 125.8h
[PROGRESS] 800,000/10,000,000 (8.00%) | hits: 6 | errors: 532384 | 20.4 req/s | ETA: 125.0h
[PROGRESS] 805,000/10,000,000 (8.05%) | hits: 6 | errors: 537384 | 20.6 req/s | ETA: 124.1h
[PROGRESS] 810,000/10,000,000 (8.10%) | hits: 6 | errors: 542384 | 20.7 req/s | ETA: 123.3h
[PROGRESS] 815,000/10,000,000 (8.15%) | hits: 6 | errors: 547384 | 20.8 req/s | ETA: 122.5h
[PROGRESS] 820,000/10,000,000 (8.20%) | hits: 6 | errors: 552384 | 21.0 req/s | ETA: 121.7h
[PROGRESS] 825,000/10,000,000 (8.25%) | hits: 6 | errors: 557384 | 21.1 req/s | ETA: 120.9h
[PROGRESS] 830,000/10,000,000 (8.30%) | hits: 6 | errors: 562384 | 21.2 req/s | ETA: 120.1h
[PROGRESS] 835,000/10,000,000 (8.35%) | hits: 6 | errors: 567384 | 21.3 req/s | ETA: 119.3h
[PROGRESS] 840,000/10,000,000 (8.40%) | hits: 6 | errors: 572384 | 21.5 req/s | ETA: 118.5h
[PROGRESS] 845,000/10,000,000 (8.45%) | hits: 6 | errors: 577384 | 21.6 req/s | ETA: 117.8h
[PROGRESS] 850,000/10,000,000 (8.50%) | hits: 6 | errors: 582384 | 21.7 req/s | ETA: 117.0h
[PROGRESS] 855,000/10,000,000 (8.55%) | hits: 6 | errors: 587384 | 21.9 req/s | ETA: 116.3h
[PROGRESS] 860,000/10,000,000 (8.60%) | hits: 6 | errors: 592384 | 22.0 req/s | ETA: 115.5h
[PROGRESS] 865,000/10,000,000 (8.65%) | hits: 6 | errors: 597384 | 22.1 req/s | ETA: 114.8h
[PROGRESS] 870,000/10,000,000 (8.70%) | hits: 6 | errors: 602384 | 22.2 req/s | ETA: 114.1h
[PROGRESS] 875,000/10,000,000 (8.75%) | hits: 6 | errors: 607384 | 22.4 req/s | ETA: 113.4h
[PROGRESS] 880,000/10,000,000 (8.80%) | hits: 6 | errors: 612384 | 22.5 req/s | ETA: 112.6h
[PROGRESS] 885,000/10,000,000 (8.85%) | hits: 6 | errors: 617384 | 22.6 req/s | ETA: 112.0h
[PROGRESS] 890,000/10,000,000 (8.90%) | hits: 6 | errors: 622384 | 22.7 req/s | ETA: 111.3h
[PROGRESS] 895,000/10,000,000 (8.95%) | hits: 6 | errors: 627384 | 22.9 req/s | ETA: 110.6h
[PROGRESS] 900,000/10,000,000 (9.00%) | hits: 6 | errors: 632384 | 23.0 req/s | ETA: 109.9h
[PROGRESS] 905,000/10,000,000 (9.05%) | hits: 6 | errors: 637384 | 23.1 req/s | ETA: 109.2h
[PROGRESS] 910,000/10,000,000 (9.10%) | hits: 6 | errors: 642384 | 23.3 req/s | ETA: 108.6h
[PROGRESS] 915,000/10,000,000 (9.15%) | hits: 6 | errors: 647384 | 23.4 req/s | ETA: 107.9h
[PROGRESS] 920,000/10,000,000 (9.20%) | hits: 6 | errors: 652384 | 23.5 req/s | ETA: 107.3h
[PROGRESS] 925,000/10,000,000 (9.25%) | hits: 6 | errors: 657384 | 23.6 req/s | ETA: 106.6h
[PROGRESS] 930,000/10,000,000 (9.30%) | hits: 6 | errors: 662384 | 23.8 req/s | ETA: 106.0h
[PROGRESS] 935,000/10,000,000 (9.35%) | hits: 6 | errors: 667384 | 23.9 req/s | ETA: 105.4h
[PROGRESS] 940,000/10,000,000 (9.40%) | hits: 6 | errors: 672384 | 24.0 req/s | ETA: 104.8h
[PROGRESS] 945,000/10,000,000 (9.45%) | hits: 6 | errors: 677384 | 24.1 req/s | ETA: 104.2h
[PROGRESS] 950,000/10,000,000 (9.50%) | hits: 6 | errors: 682384 | 24.3 req/s | ETA: 103.6h
[PROGRESS] 955,000/10,000,000 (9.55%) | hits: 6 | errors: 687384 | 24.4 req/s | ETA: 103.0h
[PROGRESS] 960,000/10,000,000 (9.60%) | hits: 6 | errors: 692384 | 24.5 req/s | ETA: 102.4h
[PROGRESS] 965,000/10,000,000 (9.65%) | hits: 6 | errors: 697384 | 24.7 req/s | ETA: 101.8h
[PROGRESS] 970,000/10,000,000 (9.70%) | hits: 6 | errors: 702384 | 24.8 req/s | ETA: 101.2h
[PROGRESS] 975,000/10,000,000 (9.75%) | hits: 6 | errors: 707384 | 24.9 req/s | ETA: 100.6h
[PROGRESS] 980,000/10,000,000 (9.80%) | hits: 6 | errors: 709514 | 24.9 req/s | ETA: 100.7h
[PROGRESS] 985,000/10,000,000 (9.85%) | hits: 6 | errors: 709521 | 24.8 req/s | ETA: 101.0h
[PROGRESS] 990,000/10,000,000 (9.90%) | hits: 6 | errors: 709525 | 24.7 req/s | ETA: 101.2h
[PROGRESS] 995,000/10,000,000 (9.95%) | hits: 6 | errors: 709529 | 24.6 req/s | ETA: 101.5h
[PROGRESS] 1,000,000/10,000,000 (10.00%) | hits: 6 | errors: 709537 | 24.6 req/s | ETA: 101.8h
[PROGRESS] 1,005,000/10,000,000 (10.05%) | hits: 6 | errors: 709552 | 24.5 req/s | ETA: 102.1h
[PROGRESS] 1,010,000/10,000,000 (10.10%) | hits: 6 | errors: 709557 | 24.4 req/s | ETA: 102.3h
[PROGRESS] 1,015,000/10,000,000 (10.15%) | hits: 6 | errors: 709561 | 24.3 req/s | ETA: 102.6h
[PROGRESS] 1,020,000/10,000,000 (10.20%) | hits: 6 | errors: 709571 | 24.3 req/s | ETA: 102.8h
[PROGRESS] 1,025,000/10,000,000 (10.25%) | hits: 6 | errors: 709572 | 24.2 req/s | ETA: 103.0h
[PROGRESS] 1,030,000/10,000,000 (10.30%) | hits: 6 | errors: 709580 | 24.1 req/s | ETA: 103.5h
[PROGRESS] 1,035,000/10,000,000 (10.35%) | hits: 6 | errors: 709584 | 23.8 req/s | ETA: 104.7h
[PROGRESS] 1,040,000/10,000,000 (10.40%) | hits: 6 | errors: 709589 | 23.5 req/s | ETA: 105.9h
[PROGRESS] 1,045,000/10,000,000 (10.45%) | hits: 9 | errors: 709596 | 23.1 req/s | ETA: 107.6h
[PROGRESS] 1,050,000/10,000,000 (10.50%) | hits: 10 | errors: 709618 | 22.7 req/s | ETA: 109.6h
[PROGRESS] 1,055,000/10,000,000 (10.55%) | hits: 12 | errors: 709647 | 22.2 req/s | ETA: 111.8h
[PROGRESS] 1,060,000/10,000,000 (10.60%) | hits: 12 | errors: 709664 | 21.9 req/s | ETA: 113.6h
[PROGRESS] 1,065,000/10,000,000 (10.65%) | hits: 14 | errors: 709691 | 21.5 req/s | ETA: 115.3h
[PROGRESS] 1,070,000/10,000,000 (10.70%) | hits: 15 | errors: 709705 | 21.2 req/s | ETA: 116.8h
[PROGRESS] 1,075,000/10,000,000 (10.75%) | hits: 15 | errors: 709709 | 21.0 req/s | ETA: 118.1h
[PROGRESS] 1,080,000/10,000,000 (10.80%) | hits: 17 | errors: 709729 | 20.6 req/s | ETA: 120.2h
[PROGRESS] 1,085,000/10,000,000 (10.85%) | hits: 17 | errors: 709740 | 20.3 req/s | ETA: 121.8h
[PROGRESS] 1,090,000/10,000,000 (10.90%) | hits: 17 | errors: 709748 | 20.1 req/s | ETA: 123.4h
[PROGRESS] 1,095,000/10,000,000 (10.95%) | hits: 17 | errors: 709763 | 19.8 req/s | ETA: 124.7h
[PROGRESS] 1,100,000/10,000,000 (11.00%) | hits: 17 | errors: 709773 | 19.7 req/s | ETA: 125.8h
